index,model,segment,temporal_patch,mean,std
162,timemil_curves,14,7,0.004377614491533081,0.0011397212812617264
163,timemil_curves,14,8,0.003920957139407543,0.0016589979764322622
164,timemil_curves,14,9,0.004130273592216158,0.0011861530671037554
165,timemil_curves,14,10,0.004079919761856783,0.0011148496665731244
166,timemil_curves,14,11,0.00424734950104744,0.001255532280831627
167,timemil_curves,14,12,0.00397103647026429,0.0013728262592135267
168,timemil_curves,15,1,0.004781963575647033,0.0026451993165768997
169,timemil_curves,15,2,0.004619706969927339,0.0024625397304410697
170,timemil_curves,15,3,0.004156725742842439,0.0011352203176994142
171,timemil_curves,15,4,0.004876875699137752,0.001306220500877983
172,timemil_curves,15,5,0.005126668979656421,0.0012203166658600296
173,timemil_curves,15,6,0.004224304930588715,0.0014847742434835115
174,timemil_curves,15,7,0.004492755949951145,0.0011368333172901734
175,timemil_curves,15,8,0.003927335668425663,0.0011844313942461259
176,timemil_curves,15,9,0.00407474790797608,0.0009134967409389424
177,timemil_curves,15,10,0.004023679229822166,0.0008800521049042914
178,timemil_curves,15,11,0.004229212191030227,0.0011493423089707355
179,timemil_curves,15,12,0.004149629770163759,0.0018574875897927926
180,timemil_curves,16,1,0.005103124119732685,0.0027059351092241788
181,timemil_curves,16,2,0.00486796598748437,0.0024669350996596945
182,timemil_curves,16,3,0.004151349150607002,0.001056892567171617
183,timemil_curves,16,4,0.004809576375292567,0.001338756805025552
184,timemil_curves,16,5,0.005003708366797689,0.0011243168473952208
185,timemil_curves,16,6,0.004093737355648626,0.0010129097328186456
186,timemil_curves,16,7,0.004472979048987021,0.001220972821505571
187,timemil_curves,16,8,0.0038520002223066045,0.0009678678470372863
188,timemil_curves,16,9,0.004114289625700438,0.0011757508880838527
