policy,feature_set,feature
noapex_fixed_qc,combined,cur_var_mid_shape_incoherence
noapex_fixed_qc,combined,d_var_mid_shape_incoherence
noapex_fixed_qc,combined,cur_var_mid_roughness_median
noapex_fixed_qc,combined,d_var_mid_roughness_median
noapex_fixed_qc,combined,cur_var_mid_roughness_p90
noapex_fixed_qc,combined,d_var_mid_roughness_p90
noapex_fixed_qc,combined,cur_var_mid_impaired_fraction_lt15
noapex_fixed_qc,combined,d_var_mid_impaired_fraction_lt15
noapex_fixed_qc,combined,cur_var_mid_mid_basal_peak_gradient
noapex_fixed_qc,combined,d_var_mid_mid_basal_peak_gradient
noapex_fixed_qc,combined,cur_var_mid_within_view_peak_robust_sd_mean
noapex_fixed_qc,combined,d_var_mid_within_view_peak_robust_sd_mean
noapex_fixed_qc,combined,cur_var_mid_spatial_peak_graph_roughness
noapex_fixed_qc,combined,d_var_mid_spatial_peak_graph_roughness
noapex_fixed_qc,combined,cur_var_mid_spatial_timing_graph_roughness
noapex_fixed_qc,combined,d_var_mid_spatial_timing_graph_roughness
noapex_fixed_qc,combined,cur_q_paired_fraction
noapex_fixed_qc,combined,d_q_paired_fraction
noapex_fixed_qc,gpu_scalars,history_visits
noapex_fixed_qc,gpu_scalars,days_since_first
noapex_fixed_qc,gpu_scalars,days_since_previous
noapex_fixed_qc,gpu_scalars,has_previous_visit
noapex_fixed_qc,gpu_scalars,current_mid_gls
noapex_fixed_qc,gpu_scalars,current_endo_gls
noapex_fixed_qc,gpu_scalars,current_ef
noapex_fixed_qc,gpu_scalars,first_mid_gls
noapex_fixed_qc,gpu_scalars,first_endo_gls
noapex_fixed_qc,gpu_scalars,first_ef
noapex_fixed_qc,gpu_scalars,current_mid_decline_from_first
noapex_fixed_qc,gpu_scalars,current_endo_decline_from_first
noapex_fixed_qc,gpu_scalars,current_ef_decline_from_first
noapex_fixed_qc,gpu_scalars,last_mid_relative_change
noapex_fixed_qc,gpu_scalars,last_endo_relative_change
noapex_fixed_qc,gpu_scalars,last_ef_relative_change
noapex_fixed_qc,gpu_scalars,mid_decline_slope_per_100d
noapex_fixed_qc,gpu_scalars,endo_decline_slope_per_100d
noapex_fixed_qc,gpu_scalars,ef_decline_slope_per_100d
noapex_fixed_qc,gpu_scalars,current_endo_mid_gap
noapex_fixed_qc,gpu_scalars,last_endo_mid_gap_change
noapex_fixed_qc,gpu_scalars,current_mid_decline_from_roll2
noapex_fixed_qc,gpu_scalars,current_endo_decline_from_roll2
noapex_fixed_qc,gpu_scalars,current_ef_decline_from_roll2
noapex_fixed_qc,gpu_scalars,current_mid_decline_from_roll3
noapex_fixed_qc,gpu_scalars,current_endo_decline_from_roll3
noapex_fixed_qc,gpu_scalars,current_ef_decline_from_roll3
noapex_fixed_qc,gpu_scalars,cur_q_total_curves
noapex_fixed_qc,gpu_scalars,d_q_total_curves
noapex_fixed_qc,gpu_scalars,cur_q_accepted_curves
noapex_fixed_qc,gpu_scalars,d_q_accepted_curves
noapex_fixed_qc,gpu_scalars,cur_q_accepted_fraction
noapex_fixed_qc,gpu_scalars,d_q_accepted_fraction
noapex_fixed_qc,gpu_scalars,cur_q_consensus_correlation_median
noapex_fixed_qc,gpu_scalars,d_q_consensus_correlation_median
noapex_fixed_qc,gpu_scalars,cur_var_endo_segments
noapex_fixed_qc,gpu_scalars,d_var_endo_segments
noapex_fixed_qc,gpu_scalars,cur_var_endo_accepted_fraction
noapex_fixed_qc,gpu_scalars,d_var_endo_accepted_fraction
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_mean
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_mean
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_median
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_median
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_std
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_std
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_robust_sd
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_robust_sd
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_iqr
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_iqr
noapex_fixed_qc,gpu_scalars,cur_var_endo_peak_cv
noapex_fixed_qc,gpu_scalars,d_var_endo_peak_cv
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_mean
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_mean
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_median
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_median
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_std
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_std
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_robust_sd
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_robust_sd
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_iqr
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_iqr
noapex_fixed_qc,gpu_scalars,cur_var_endo_ttp_circular_std
noapex_fixed_qc,gpu_scalars,d_var_endo_ttp_circular_std
noapex_fixed_qc,gpu_scalars,cur_var_endo_curve_dispersion_rms
noapex_fixed_qc,gpu_scalars,d_var_endo_curve_dispersion_rms
noapex_fixed_qc,gpu_scalars,cur_var_endo_curve_pairwise_rmse
noapex_fixed_qc,gpu_scalars,d_var_endo_curve_pairwise_rmse
