outcome,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
incident_mid_gls_relative_drop_10,transmural_only_sparse,clinical_ridge,66,-0.11005291005291007,-0.3076317719116632,0.08951297201079872,-0.10836129369591857,-0.2567043460690317,0.0314548081034331,0.024018067403291238,-0.01485131212222952,0.059939887598676
incident_mid_gls_relative_drop_10,variability_only_sparse,clinical_ridge,66,-0.04761904761904756,-0.22120602925754101,0.1224646781789639,-0.06866318292845724,-0.1966794168816566,0.06938987505661039,0.014681490653401685,-0.0177444631694265,0.04858837661472372
incident_mid_gls_relative_drop_10,clinical_plus_transmural,clinical_ridge,66,0.035978835978836,-0.12943554915945496,0.20242589200922537,-0.013531583189038077,-0.15036861314477126,0.13949911858325104,-0.004672213102593359,-0.03433490966110078,0.02175992399875315
incident_mid_gls_relative_drop_10,clinical_plus_variability,clinical_ridge,66,0.05820105820105825,-0.07596574155978186,0.1898227100467666,0.08131141034334866,-0.09113176449917106,0.23507838831177058,-0.0136241660960571,-0.042395548539040956,0.013080711211911133
incident_mid_gls_relative_drop_10,combined_sparse,clinical_ridge,66,-0.004232804232804255,-0.18869052502050856,0.1765153452685421,-0.023031799182212598,-0.15997925904442895,0.14110482358348936,0.00800324272608205,-0.02734952587885135,0.04267393075422003
incident_mid_gls_relative_drop_10,combined_extra_trees,clinical_ridge,66,-0.06984126984126993,-0.23870306324110674,0.08598099992606223,-0.08745156921045644,-0.21650773789105482,0.042631936320448316,0.019205175626986343,-0.009214729511584453,0.0489849618005523
incident_mid_gls_relative_drop_15,transmural_only_sparse,clinical_ridge,76,0.12462612163509468,-0.05659770350673712,0.2917897231782273,0.06656127028237357,-0.11294989432485258,0.19980383367291893,-0.019807689552357954,-0.03768668577325992,-0.0010334853673099236
incident_mid_gls_relative_drop_15,variability_only_sparse,clinical_ridge,76,0.05084745762711873,-0.12466737412177975,0.2375532834101381,0.009717320402976681,-0.1437124836756041,0.18496752882025008,-0.014185697107720219,-0.03550023887516061,0.004891264490089669
incident_mid_gls_relative_drop_15,clinical_plus_transmural,clinical_ridge,76,0.14456630109670987,-0.0372989453933747,0.3241647662376853,0.12916146562719544,-0.0658906608458815,0.30682306043200924,-0.0234031102984619,-0.04681205990072165,0.00032843664737749757
incident_mid_gls_relative_drop_15,clinical_plus_variability,clinical_ridge,76,0.053838484546360865,-0.11589037915209786,0.22077620466964717,0.008812870131843453,-0.13200147631481743,0.15544702164742935,-0.01027056465440307,-0.030439868271957885,0.008925447949915876
incident_mid_gls_relative_drop_15,combined_sparse,clinical_ridge,76,0.11565304087736794,-0.0727850303256896,0.2925127823565324,0.012182104465031651,-0.14426599043370159,0.13297172671874496,-0.02015192908580532,-0.041654176815629586,-0.0014479092455457118
incident_mid_gls_relative_drop_15,combined_extra_trees,clinical_ridge,76,0.09471585244267189,-0.060608546498620276,0.2650383189741535,0.027766353141095157,-0.10574905277663531,0.17057739370388295,-0.005430660714010133,-0.034079866360141105,0.021135943511231728
incident_ef_absolute_drop_5,transmural_only_sparse,clinical_ridge,68,-0.1744444444444445,-0.3950013163668275,0.042568230749746645,-0.2739854722244857,-0.5126121974890525,-0.004510092227871698,0.05206021693067195,0.0017090840435199988,0.1070425780246497
incident_ef_absolute_drop_5,variability_only_sparse,clinical_ridge,68,-0.10111111111111115,-0.2591415094339623,0.07397235576923077,-0.21000590905187377,-0.38919984055809553,0.03748892392309185,0.058952494893073415,0.0012331140571159222,0.11748612535839546
incident_ef_absolute_drop_5,clinical_plus_transmural,clinical_ridge,68,-0.07888888888888901,-0.26442307692307687,0.12223157051282052,-0.07900630047554136,-0.314896440500176,0.20293013784757782,0.02188414686351331,-0.03045592098325872,0.07330612449879506
incident_ef_absolute_drop_5,clinical_plus_variability,clinical_ridge,68,0.030000000000000027,-0.0957429464998668,0.14130299388111886,-0.07355336431391257,-0.24544646189479255,0.15100544293896392,0.015623251117452719,-0.03033337255836268,0.06864795583437702
incident_ef_absolute_drop_5,combined_sparse,clinical_ridge,68,-0.014444444444444482,-0.16621280979658637,0.14441585242587587,-0.0765916922715485,-0.30969070687714484,0.18400178853488142,0.011950178094356695,-0.03633036559064962,0.05809738264049543
incident_ef_absolute_drop_5,combined_extra_trees,clinical_ridge,68,-0.12222222222222234,-0.28749999999999987,0.026872631010906377,-0.16521472641009077,-0.3560057968892958,0.05903495413229493,0.035087988700903905,0.008070345501379556,0.06455340059776751
